Population,Area (sq. mi.),Pop. Density ,GDP ($ per capita),Literacy (%),Infant mortality ,Development Index
-0.24299518683451926,431,649.5,0.5951876966796008,0.690932584120213,12.5,0.03529865459220697
-0.21211865386672285,13790,284.8,0.7048415264609029,0.520935419394499,8.24,1.1698982664845747
0.8709124580078735,923768,142.7,-0.8801547403779181,-0.8235876107088692,98.8,-1.0993009573001609
-0.2428303099905182,103000,2.9,2.110404253657593,0.819718314973026,3.31,1.1698982664845747
-0.17687720201032914,27830,290.7,-0.9100603303182733,-1.668422005103323,69.29,-1.0993009573001609
0.833696479806501,377835,337.4,1.8412539441943971,0.7733554518660131,3.26,1.1698982664845747
-0.19931640206404058,48845,111.4,0.35594297715675993,0.7733554518660131,7.41,1.1698982664845747
-0.23872521012118747,9250,84.8,0.9440862459837438,0.7012354425884374,7.18,1.1698982664845747
-0.24366124661744773,374,538.1,-0.7106897307159058,0.7733554518660131,62.4,-1.0993009573001609
-0.2447261651241958,572,131.9,1.1235197856258745,0.7733554518660131,5.93,1.1698982664845747
0.3361268631377593,1648000,41.7,-0.27207441159069745,-0.23632467802004123,41.58,0.03529865459220697
-0.0503495555172172,35980,640.3,1.3627645051487154,0.6239640040767496,6.4,1.1698982664845747
-0.14129207048480874,108890,112.9,-0.5611617810141303,-0.6896504506219439,35.93,0.03529865459220697
-0.1833894225319119,143100,51.2,-0.8701862103977998,0.7939611688024634,110.76,-2.2339005691925284
-0.20755128761483527,33843,132.0,-0.7904379705568527,0.7785068811001252,40.42,0.03529865459220697
-0.1690335476398931,449964,20.0,1.70169452447274,0.7733554518660131,2.77,1.1698982664845747
-0.24526484239163424,26,454.2,-0.8602176804176813,0.7733554518660131,20.03,0.03529865459220697
-0.20727810134681748,51129,88.0,-0.3617911814117628,0.7733554518660131,21.05,0.03529865459220697
0.4224643397464698,1001450,78.8,-0.5711303109942486,-1.3541848218224588,32.59,0.03529865459220697
-0.24167269270364017,1100,396.5,0.465596806938062,0.7063868718225503,7.09,1.1698982664845747
-0.2451283931735397,7,3989.7,0.7746212363217315,0.7733554518660131,5.13,1.1698982664845747
-0.20731388561564026,56542,79.5,0.08679266769356389,0.7475983056954504,6.84,1.1698982664845747
-0.15822787517965434,207600,49.6,-0.3617911814117628,0.8042640272706879,13.37,0.03529865459220697
-0.24503356951726246,261,149.9,-0.0926408719485668,0.6703268671837626,14.49,0.03529865459220697
-0.21086512085574685,51100,79.8,-0.06273528200821167,0.6188125748426373,9.95,1.1698982664845747
